Timestamp|Source Type|Source Name|Signal Code Type|Signaling Format|Unit Id|Agency Name|Unit Name|Radio Name|Radio Type|Personnel Name|Role Name|Description
7/16/2014 - 06:11:01|Audio Stream|Nassau County Scan|PTT|MDC|6201|||||||PTT ID: 6201 [Pre-ID]
7/16/2014 - 06:13:54|Audio Stream|Nassau County Scan|PTT|MDC|2800|||||||PTT ID: 2800 [Pre-ID]
7/16/2014 - 06:13:57|Audio Stream|Nassau County Scan|PTT|MDC|6201|||||||PTT ID: 6201 [Pre-ID]
7/16/2014 - 06:14:03|Audio Stream|Nassau County Scan|PTT|MDC|2800|||||||PTT ID: 2800 [Pre-ID]
7/16/2014 - 06:31:00|Audio Stream|Nassau County Scan|PTT|MDC|6299|||||||PTT ID: 6299 [Pre-ID]
7/16/2014 - 06:31:37|Audio Stream|Nassau County Scan|PTT|MDC|2103|||||||PTT ID: 2103 [Post-ID]
7/16/2014 - 06:33:35|Audio Stream|Nassau County Scan|PTT|MDC|0211|||||||PTT ID: 0211 [Post-ID]
7/16/2014 - 06:34:20|Audio Stream|Nassau County Scan|PTT|MDC|2103|||||||PTT ID: 2103 [Post-ID]
7/16/2014 - 06:34:49|Audio Stream|Nassau County Scan|PTT|MDC|2800|||||||PTT ID: 2800 [Pre-ID]
7/16/2014 - 06:35:28|Audio Stream|Nassau County Scan|PTT|MDC|0216|||||||PTT ID: 0216 [Post-ID]
7/16/2014 - 06:35:31|Audio Stream|Nassau County Scan|PTT|MDC|2103|||||||PTT ID: 2103 [Post-ID]
7/16/2014 - 06:35:39|Audio Stream|Nassau County Scan|PTT|MDC|0216|||||||PTT ID: 0216 [Post-ID]
7/16/2014 - 06:35:42|Audio Stream|Nassau County Scan|PTT|MDC|2103|||||||PTT ID: 2103 [Post-ID]
7/16/2014 - 06:35:44|Audio Stream|Nassau County Scan|PTT|MDC|0216|||||||PTT ID: 0216 [Post-ID]
7/16/2014 - 06:35:54|Audio Stream|Nassau County Scan|PTT|MDC|2103|||||||PTT ID: 2103 [Post-ID]
7/16/2014 - 06:37:35|Audio Stream|Nassau County Scan|PTT|MDC|2103|||||||PTT ID: 2103 [Post-ID]
